Sector,Company,Output,MSE,R2
SUGAR & ALLIED INDUSTRIES,HWQS,Output_1,0.009168,-0.162133
SUGAR & ALLIED INDUSTRIES,HWQS,Output_2,0.009008,-0.203081
SUGAR & ALLIED INDUSTRIES,HWQS,Output_3,0.011296,-0.386726
SUGAR & ALLIED INDUSTRIES,HWQS,Output_4,0.013079,-0.226529
SUGAR & ALLIED INDUSTRIES,JDWS,Output_1,0.001574,0.922632
SUGAR & ALLIED INDUSTRIES,JDWS,Output_2,0.002145,0.896663
SUGAR & ALLIED INDUSTRIES,JDWS,Output_3,0.004098,0.817221
SUGAR & ALLIED INDUSTRIES,JDWS,Output_4,0.020396,0.641192
SUGAR & ALLIED INDUSTRIES,JSML,Output_1,0.005892,0.645603
SUGAR & ALLIED INDUSTRIES,JSML,Output_2,0.006526,0.607795
SUGAR & ALLIED INDUSTRIES,JSML,Output_3,0.007783,0.522546
SUGAR & ALLIED INDUSTRIES,JSML,Output_4,0.042189,-0.055728
SUGAR & ALLIED INDUSTRIES,KPUS,Output_1,0.009816,0.798228
SUGAR & ALLIED INDUSTRIES,KPUS,Output_2,0.01032,0.790792
SUGAR & ALLIED INDUSTRIES,KPUS,Output_3,0.018744,0.637201
SUGAR & ALLIED INDUSTRIES,KPUS,Output_4,0.043592,0.050315
SUGAR & ALLIED INDUSTRIES,MIRKS,Output_1,0.012696,0.859732
SUGAR & ALLIED INDUSTRIES,MIRKS,Output_2,0.015104,0.834431
SUGAR & ALLIED INDUSTRIES,MIRKS,Output_3,0.024195,0.741048
SUGAR & ALLIED INDUSTRIES,MIRKS,Output_4,0.062834,0.343905
SUGAR & ALLIED INDUSTRIES,MRNS,Output_1,0.010635,0.67772
SUGAR & ALLIED INDUSTRIES,MRNS,Output_2,0.011553,0.642339
SUGAR & ALLIED INDUSTRIES,MRNS,Output_3,0.015079,0.489565
SUGAR & ALLIED INDUSTRIES,MRNS,Output_4,0.039673,-0.550579
SUGAR & ALLIED INDUSTRIES,NONS,Output_1,0.023991,0.592964
SUGAR & ALLIED INDUSTRIES,NONS,Output_2,0.027654,0.530631
SUGAR & ALLIED INDUSTRIES,NONS,Output_3,0.042046,0.284294
SUGAR & ALLIED INDUSTRIES,NONS,Output_4,0.063238,-0.120533
SUGAR & ALLIED INDUSTRIES,SANSM,Output_1,0.005647,0.716184
SUGAR & ALLIED INDUSTRIES,SANSM,Output_2,0.007309,0.635145
SUGAR & ALLIED INDUSTRIES,SANSM,Output_3,0.014074,0.301432
SUGAR & ALLIED INDUSTRIES,SANSM,Output_4,0.042221,0.228567
SUGAR & ALLIED INDUSTRIES,SHJS,Output_1,0.007469,0.743134
SUGAR & ALLIED INDUSTRIES,SHJS,Output_2,0.007573,0.742518
SUGAR & ALLIED INDUSTRIES,SHJS,Output_3,0.01043,0.665057
SUGAR & ALLIED INDUSTRIES,SHJS,Output_4,0.026544,0.548458
SUGAR & ALLIED INDUSTRIES,SHSML,Output_1,0.007684,0.870417
SUGAR & ALLIED INDUSTRIES,SHSML,Output_2,0.007712,0.871064
SUGAR & ALLIED INDUSTRIES,SHSML,Output_3,0.008903,0.856318
SUGAR & ALLIED INDUSTRIES,SHSML,Output_4,0.026767,0.627491
SUGAR & ALLIED INDUSTRIES,SKRS,Output_1,0.014056,0.254763
SUGAR & ALLIED INDUSTRIES,SKRS,Output_2,0.014935,0.207538
SUGAR & ALLIED INDUSTRIES,SKRS,Output_3,0.018581,0.04096
SUGAR & ALLIED INDUSTRIES,SKRS,Output_4,0.039698,-0.325141
SUGAR & ALLIED INDUSTRIES,SML,Output_1,0.018577,0.360653
SUGAR & ALLIED INDUSTRIES,SML,Output_2,0.02021,0.325467
SUGAR & ALLIED INDUSTRIES,SML,Output_3,0.026348,0.194436
SUGAR & ALLIED INDUSTRIES,SML,Output_4,0.036572,-0.007627
SUGAR & ALLIED INDUSTRIES,TCORP,Output_1,0.013737,0.694403
SUGAR & ALLIED INDUSTRIES,TCORP,Output_2,0.015029,0.66585
SUGAR & ALLIED INDUSTRIES,TCORP,Output_3,0.021489,0.523792
SUGAR & ALLIED INDUSTRIES,TCORP,Output_4,0.048886,-0.355209
SUGAR & ALLIED INDUSTRIES,TSML,Output_1,0.010499,0.49861
SUGAR & ALLIED INDUSTRIES,TSML,Output_2,0.012091,0.422653
SUGAR & ALLIED INDUSTRIES,TSML,Output_3,0.010908,0.400608
SUGAR & ALLIED INDUSTRIES,TSML,Output_4,0.025324,-2.935483
TEXTILE SPINNING,AATM,Output_1,0.000405,-5.106922
TEXTILE SPINNING,AATM,Output_2,0.001003,-21.696716
TEXTILE SPINNING,AATM,Output_3,0.031396,-101.578119
TEXTILE SPINNING,AATM,Output_4,0.002228,0.0
TEXTILE SPINNING,AMTEX,Output_1,0.002243,
TEXTILE SPINNING,AMTEX,Output_2,0.01045,
TEXTILE SPINNING,AMTEX,Output_3,0.004067,
TEXTILE SPINNING,AMTEX,Output_4,0.00736,
TEXTILE SPINNING,ARCTM,Output_1,0.012372,0.593798
TEXTILE SPINNING,ARCTM,Output_2,0.013994,0.546902
TEXTILE SPINNING,ARCTM,Output_3,0.017881,0.447518
TEXTILE SPINNING,ARCTM,Output_4,0.023339,0.310535
TEXTILE SPINNING,ASTM,Output_1,0.014783,0.671409
TEXTILE SPINNING,ASTM,Output_2,0.016565,0.634438
TEXTILE SPINNING,ASTM,Output_3,0.024732,0.46214
TEXTILE SPINNING,ASTM,Output_4,0.049092,0.127273
TEXTILE SPINNING,BILF,Output_1,0.005092,0.518716
TEXTILE SPINNING,BILF,Output_2,0.005838,0.489174
TEXTILE SPINNING,BILF,Output_3,0.009644,0.436495
TEXTILE SPINNING,BILF,Output_4,0.033161,0.171426
TEXTILE SPINNING,CTM,Output_1,0.013864,0.727191
TEXTILE SPINNING,CTM,Output_2,0.015707,0.690834
TEXTILE SPINNING,CTM,Output_3,0.022757,0.557365
TEXTILE SPINNING,CTM,Output_4,0.041393,0.040079
TEXTILE SPINNING,CWSM,Output_1,0.007323,0.741132
TEXTILE SPINNING,CWSM,Output_2,0.007388,0.746296
TEXTILE SPINNING,CWSM,Output_3,0.007377,0.768834
TEXTILE SPINNING,CWSM,Output_4,0.007535,0.804773
TEXTILE SPINNING,DFSM,Output_1,0.016615,0.553635
TEXTILE SPINNING,DFSM,Output_2,0.018969,0.487703
TEXTILE SPINNING,DFSM,Output_3,0.02704,0.262411
TEXTILE SPINNING,DFSM,Output_4,0.042883,-0.186275
TEXTILE SPINNING,DINT,Output_1,0.011786,0.828735
TEXTILE SPINNING,DINT,Output_2,0.014132,0.790755
TEXTILE SPINNING,DINT,Output_3,0.030794,0.51444
TEXTILE SPINNING,DINT,Output_4,0.086039,-0.961654
TEXTILE SPINNING,DSIL,Output_1,0.010196,0.632196
TEXTILE SPINNING,DSIL,Output_2,0.011626,0.589104
TEXTILE SPINNING,DSIL,Output_3,0.01876,0.421605
TEXTILE SPINNING,DSIL,Output_4,0.032426,0.125243
TEXTILE SPINNING,DWTM,Output_1,0.029691,0.445476
TEXTILE SPINNING,DWTM,Output_2,0.032978,0.38645
TEXTILE SPINNING,DWTM,Output_3,0.041592,0.219956
TEXTILE SPINNING,DWTM,Output_4,0.091953,-1.842607
TEXTILE SPINNING,GADT,Output_1,0.012419,0.671887
TEXTILE SPINNING,GADT,Output_2,0.013492,0.643608
TEXTILE SPINNING,GADT,Output_3,0.020221,0.462795
TEXTILE SPINNING,GADT,Output_4,0.038199,0.019897
TEXTILE SPINNING,GSPM,Output_1,0.000484,
TEXTILE SPINNING,GSPM,Output_2,0.007201,
TEXTILE SPINNING,GSPM,Output_3,0.0009,
TEXTILE SPINNING,GSPM,Output_4,0.014303,
TEXTILE SPINNING,HIRAT,Output_1,0.016718,0.744279
TEXTILE SPINNING,HIRAT,Output_2,0.018443,0.717707
TEXTILE SPINNING,HIRAT,Output_3,0.024885,0.620414
TEXTILE SPINNING,HIRAT,Output_4,0.045073,0.240949
TEXTILE SPINNING,IDRT,Output_1,0.009101,0.062895
TEXTILE SPINNING,IDRT,Output_2,0.009455,0.029449
TEXTILE SPINNING,IDRT,Output_3,0.018217,-0.95276
TEXTILE SPINNING,IDRT,Output_4,0.040877,-0.037203
TEXTILE SPINNING,IDSM,Output_1,0.067587,0.121947
TEXTILE SPINNING,IDSM,Output_2,0.068743,0.106804
TEXTILE SPINNING,IDSM,Output_3,0.086086,-0.146326
TEXTILE SPINNING,IDSM,Output_4,0.099085,-31.747751
TEXTILE SPINNING,IDYM,Output_1,0.011154,0.644139
TEXTILE SPINNING,IDYM,Output_2,0.011962,0.610899
TEXTILE SPINNING,IDYM,Output_3,0.014252,0.500275
TEXTILE SPINNING,IDYM,Output_4,0.016089,-1.307289
TEXTILE SPINNING,JATM,Output_1,0.00923,0.893352
TEXTILE SPINNING,JATM,Output_2,0.011201,0.870952
TEXTILE SPINNING,JATM,Output_3,0.014665,0.832123
TEXTILE SPINNING,JATM,Output_4,0.045803,0.412526
TEXTILE SPINNING,JDMT,Output_1,0.017508,0.557322
TEXTILE SPINNING,JDMT,Output_2,0.019724,0.496173
TEXTILE SPINNING,JDMT,Output_3,0.023269,0.337623
TEXTILE SPINNING,JDMT,Output_4,0.033314,-0.811257
TEXTILE SPINNING,KOHTM,Output_1,0.015958,-0.103413
TEXTILE SPINNING,KOHTM,Output_2,0.01731,-0.202881
TEXTILE SPINNING,KOHTM,Output_3,0.027534,-0.357492
TEXTILE SPINNING,KOHTM,Output_4,0.048518,0.306841
TEXTILE SPINNING,KOSM,Output_1,0.008433,0.650389
TEXTILE SPINNING,KOSM,Output_2,0.008755,0.641985
TEXTILE SPINNING,KOSM,Output_3,0.011525,0.564795
TEXTILE SPINNING,KOSM,Output_4,0.014875,0.541268
TEXTILE SPINNING,NAGC,Output_1,0.02124,0.378402
TEXTILE SPINNING,NAGC,Output_2,0.023545,0.316727
TEXTILE SPINNING,NAGC,Output_3,0.032892,0.087529
TEXTILE SPINNING,NAGC,Output_4,0.032887,-0.022577
TEXTILE SPINNING,RCML,Output_1,0.033723,-0.073691
TEXTILE SPINNING,RCML,Output_2,0.037719,-0.34691
TEXTILE SPINNING,RCML,Output_3,0.048323,-1.175457
