symbol,href,name,sector_id,listed_in,sector_name,,ACI,ALLSHR,BKTI,JSGBKTI,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20,UPP9,data-link
DGKC,https://dps.psx.com.pk/company/DGKC,D.G. Khan Cement Company Limited,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI",CEMENT,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DGKC
PPL,https://dps.psx.com.pk/company/PPL,Pakistan Petroleum Limited,0820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI",OIL & GAS EXPLORATION COMPANIES,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,https://dps.psx.com.pk/timeseries/eod/PPL
GATM,https://dps.psx.com.pk/company/GATM,Gul Ahmed Textile Mills Limited,0829,"ACI,ALLSHR,KMIALLSHR",TEXTILE COMPOSITE,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/GATM
DOL,https://dps.psx.com.pk/company/DOL,Descon Oxychem Limited,0805,"ALLSHR,KMIALLSHR",CHEMICAL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DOL
THCCL,https://dps.psx.com.pk/company/THCCL,Thatta Cement Company Limited,0804,ALLSHR,CEMENT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/THCCL
TSBL,https://dps.psx.com.pk/company/TSBL,Trust Securities & Brokerage Limited,0813,ALLSHR,INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TSBL
PAEL,https://dps.psx.com.pk/company/PAEL,Pak Elektron Limited,0803,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",CABLE & ELECTRICAL GOODS,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PAEL
PIAHCLA,https://dps.psx.com.pk/company/PIAHCLA,PIA Holding Company Limited,0813,"ALLSHR,JSMFI",INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PIAHCLA
CPHL,https://dps.psx.com.pk/company/CPHL,Citi Pharma Ltd.,0823,"ALLSHR,KMIALLSHR",PHARMACEUTICALS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/CPHL
SNBL,https://dps.psx.com.pk/company/SNBL,Soneri Bank Limited,0807,ALLSHR,COMMERCIAL BANKS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/SNBL
FCCL,https://dps.psx.com.pk/company/FCCL,Fauji Cement Company Limited,0804,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30",CEMENT,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/FCCL
DFML,https://dps.psx.com.pk/company/DFML,Dewan Farooque Motors Limited,0801,"ALLSHR,KSE30",AUTOMOBILE ASSEMBLER,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DFML
CRTM,https://dps.psx.com.pk/company/CRTM,The Crescent Textile Mills Limited,0829,"ALLSHR,KMIALLSHR",TEXTILE COMPOSITE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/CRTM
WAVES,https://dps.psx.com.pk/company/WAVES,Waves Corporation Limited,0803,ALLSHR,CABLE & ELECTRICAL GOODS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/WAVES
BECO,https://dps.psx.com.pk/company/BECO,Beco Steel Limited,0808,"ALLSHR,KMIALLSHR",ENGINEERING,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/BECO
MUGHAL,https://dps.psx.com.pk/company/MUGHAL,Mughal Iron & Steel Industries Limited,0808,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR",ENGINEERING,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/MUGHAL
TREET,https://dps.psx.com.pk/company/TREET,Treet Corporation Limited,0810,"ALLSHR,JSMFI,KMIALLSHR",FOOD & PERSONAL CARE PRODUCTS,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TREET
HUMNL,https://dps.psx.com.pk/company/HUMNL,Hum Network Limited,0828,"ALLSHR,KSE100,KSE100PR",TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/HUMNL
GCWL,https://dps.psx.com.pk/company/GCWL,Ghani Chemworld Limited,0805,ALLSHR,CHEMICAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/GCWL
OGDC,https://dps.psx.com.pk/company/OGDC,Oil & Gas Development Company Limited,0820,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20",OIL & GAS EXPLORATION COMPANIES,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,https://dps.psx.com.pk/timeseries/eod/OGDC
ITTEFAQ,https://dps.psx.com.pk/company/ITTEFAQ,Ittefaq Iron Industries Limited,0808,"ALLSHR,KMIALLSHR",ENGINEERING,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/ITTEFAQ
DBCI,https://dps.psx.com.pk/company/DBCI,Dadabhoy Cement Industries Limited,0804,ALLSHR,CEMENT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/DBCI
TRG,https://dps.psx.com.pk/company/TRG,TRG Pakistan Limited,0828,"ALLSHR,KSE100,KSE100PR",TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/TRG
PSX,https://dps.psx.com.pk/company/PSX,Pakistan Stock Exchange Limited,0813,"ALLSHR,KSE100,KSE100PR",INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PSX
PREMA,https://dps.psx.com.pk/company/PREMA,At-Tahur Limited,0810,"ALLSHR,KMIALLSHR",FOOD & PERSONAL CARE PRODUCTS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/PREMA
WAVESAPP,https://dps.psx.com.pk/company/WAVESAPP,Waves Home Appliances Limited,0803,ALLSHR,CABLE & ELECTRICAL GOODS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/WAVESAPP
BFAGRO,https://dps.psx.com.pk/company/BFAGRO,Barkat Frisian Agro Limited,0810,"ALLSHR,KMIALLSHR",FOOD & PERSONAL CARE PRODUCTS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/BFAGRO
GGL,https://dps.psx.com.pk/company/GGL,Ghani Global Holdings Limited,0805,"ALLSHR,KMIALLSHR",CHEMICAL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/GGL
FNEL,https://dps.psx.com.pk/company/FNEL,First National Equities Limited,0813,ALLSHR,INV. BANKS / INV. COS. / SECURITIES COS.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/FNEL
SYM,https://dps.psx.com.pk/company/SYM,Symmetry Group Limited,0828,"ALLSHR,KMIALLSHR",TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/SYM
UBL,https://dps.psx.com.pk/company/UBL,United Bank Limited,0807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,KSE30,NBPPGI,NITPGI,PSXDIV20,UPP9",COMMERCIAL BANKS,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,https://dps.psx.com.pk/timeseries/eod/UBL
STPL,https://dps.psx.com.pk/company/STPL,Siddiqsons Tin Plate Limited,0818,ALLSHR,MISCELLANEOUS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/STPL
AVN,https://dps.psx.com.pk/company/AVN,Avanceon Limited,0828,"ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR",TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/AVN
