symbol,period,date_predicted,predicted_price,percent_change,absolute_difference,last_price
DGKC,1 day,2025-July-26,159.94,-7.21,-12.43,172.37
DGKC,1 week,2025-August-01,163.97,-4.87,-8.4,172.37
DGKC,1 month,2025-August-24,161.79,-6.14,-10.58,172.37
DGKC,6 months,2026-January-21,201.73,17.04,29.36,172.37
PPL,1 day,2025-July-26,174.23,4.13,6.92,167.31
PPL,1 week,2025-August-01,176.32,5.38,9.01,167.31
PPL,1 month,2025-August-24,175.35,4.8,8.04,167.31
PPL,6 months,2026-January-21,230.44,37.73,63.13,167.31
GATM,1 day,2025-July-26,25.34,-22.82,-7.5,32.84
GATM,1 week,2025-August-01,26.57,-19.08,-6.27,32.84
GATM,1 month,2025-August-24,26.15,-20.36,-6.69,32.84
GATM,6 months,2026-January-21,31.1,-5.28,-1.74,32.84
DOL,1 day,2025-July-26,32.46,-10.71,-3.9,36.36
DOL,1 week,2025-August-01,31.37,-13.72,-4.99,36.36
DOL,1 month,2025-August-24,33.07,-9.04,-3.29,36.36
DOL,6 months,2026-January-21,40.78,12.16,4.42,36.36
THCCL,1 day,2025-July-26,196.97,332.52,151.43,45.54
THCCL,1 week,2025-August-01,200.35,339.94,154.81,45.54
THCCL,1 month,2025-August-24,226.79,398.0,181.25,45.54
THCCL,6 months,2026-January-21,287.31,530.9,241.77,45.54
TSBL,1 day,2025-July-26,11.73,-26.91,-4.32,16.05
TSBL,1 week,2025-August-01,12.37,-22.94,-3.68,16.05
TSBL,1 month,2025-August-24,11.88,-25.96,-4.17,16.05
TSBL,6 months,2026-January-21,11.42,-28.83,-4.63,16.05
PAEL,1 day,2025-July-26,43.13,6.56,2.66,40.47
PAEL,1 week,2025-August-01,46.15,14.04,5.68,40.47
PAEL,1 month,2025-August-24,43.93,8.55,3.46,40.47
PAEL,6 months,2026-January-21,60.96,50.62,20.49,40.47
PIAHCLA,1 day,2025-July-26,16.79,-20.01,-4.2,20.99
PIAHCLA,1 week,2025-August-01,17.79,-15.26,-3.2,20.99
PIAHCLA,1 month,2025-August-24,16.21,-22.8,-4.78,20.99
